게시판,dataid,제목,작성일,조회수,본문,URL,신규,수집일
전국.지역대회결과,1285,제1회 창원 상남으뜸 플란트 치과배 경기결과,26.02.02,629,제1회 창원 상남으뜸 플란트 치과배 경기결과.hwp15.50KB,https://cafe.daum.net/volleyballsok/Iy5T/1285,,2026-03-16 07:59
전국.지역대회결과,1279,제2회 완도풀 힐링 전국생활체육 남.여 배구대회 경기결과,25.12.22,1138,"제2회 완도풀 힐링 전국생활체육 남·여 배구대회에 참가해 주신 모든 선수단 여러분과 심판진 여러분께 진심으로 감사의 인사를 드립니다.대회 운영에 있어 다소 부족한 부분이 있었음에도 불구하고 너그러운 마음으로 이해해 주시고, 끝까지 최선을 다해 주신 모든 분들께 깊이 감사드립니다. 여러분의 열정과 스포츠맨십 덕분에 대회가 더욱 뜻깊은 시간이 될 수 있었습니다.이번 대회를 통해 얻은 소중한 경험을 바탕으로, 내년에는 더욱 체계적이고 완성도 높은 대회를 준비하여 보답드릴 수 있도록 최선을 다하겠습니다.다시 한 번 참가해 주신 선수단 여러분과 공정한 판정으로 대회를 빛내주신 심판진 여러분께 감사드리며, 앞으로도 많은 관심과 참여를 부탁드립니다. 감사합니다.",https://cafe.daum.net/volleyballsok/Iy5T/1279,,2026-03-16 08:00
전국.지역대회결과,1278,2025 청양군체육회장배 전국남여 배구대회 경기결과,25.12.22,1403,"2025 청양군체육회장배 전국남여 배구대회에 참가해주신 70여개 모든 팀들과 관계자분들께깊은 감사드립니다.입상한 팀 관계자분에겐 축하를 드리고~~좋은 결과를 얻지 못한 팀 관계자분들에겐 위로와 격려를 보냅니다.대회 기간 부족한 점들이 있으셨다면 넓은신 마음으로 이해해 주시길 바라면서 다음대회 때는 더욱더 발전된 모습으로 다시 여러분들을 만나 뵙겠습니다.다시 한번 모든분들께 진심으로 감사드리고 수고하셨습니다.2025년 얼마남지 않은 시간 알차게 마무리 하시고, 다가오는26년 병오년 붉은말의해라고 하네요. 새해 복 마니 받으세요!2025 청양군체육회장배 전국남여 배구대회 대 회 성 적 구 분우 승준우승공동3위공동3위최우수선수상감독상남자3부Team KCK전주V9저스트플레이아스트로하이윤창렬박종원여자3부GVT전주V9맥 스V.O.L김선우우승진남자시니어부K.S.T남양주배구사랑독도렌트카봉담배구클럽장길용이광철여자미시부남양주한마음서대전구봉청 양파 란김은진오영숙심 판 상이지훈심 판 상이은선2026년에는 더욱더 발전하는 청양군 배구협회가 되겠습니다. 감사합니다.",https://cafe.daum.net/volleyballsok/Iy5T/1278,,2026-03-16 08:00
전국.지역대회결과,1277,제6회 목포 유달산배 전국 남.녀 배구대회 경기결과,25.12.19,939,제6회 목포 유달산배 전국 남.녀 배구대회에 찾아주신 전국 동호인 여러분께 감사에 말씀을 드립니다. 감사합니다,https://cafe.daum.net/volleyballsok/Iy5T/1277,,2026-03-16 08:00
전국.지역대회결과,1276,[대회결과] 제5회 충주 수안보 온천배 전국남녀배구대회 결과,25.12.17,1232,안녕하세요! 충주시배구협회입니다. 제5회 충주 수안보 온천배 전국남녀배구대회에 참가한 모든 팀들에게 감사 인사드립니다.^^~ 결과표를 안내 합니다. ◉ 제5회 충주 수안보 온천배 전국남녀배구대회 순위표 순부 별우승준우승3위3위최우수상1남 클럽 2부우왕좌왕파랑새 B호랑이H_B이성훈(우왕좌왕)2남 중년부전주 하나로DANDI파랑새포항TOP신태섭(전주하나로)3남 클럽 3부(온천리그)피그벨트구미거북클럽Team – KCK울산아쎄로황우찬(피그벨트)4여 클럽 3부엑시토TMR저스트플레이울산남구여성김은솔(엑시토)5남 클럽 3부(사과리그)엑시토충주에이스AARZ삼각산파워홍민기(엑시토)6심판상전 현 숙심 은 태 제5회 수안보배 최종 순위표.hwp39.00KB,https://cafe.daum.net/volleyballsok/Iy5T/1276,,2026-03-16 08:00
전국.지역대회결과,1274,2025 서울시민리그 클럽부 경기결과 알림,25.12.08,1045,,https://cafe.daum.net/volleyballsok/Iy5T/1274,,2026-03-16 08:00
전국.지역대회결과,1273,스크랩 [대회결과] 제3회 부여굿뜨래배 전국남녀 배구대회 결과,25.12.07,2135,대회에 참가해주신 130여 모든 팀들과 관계자분들께 감사드립니다.또한 입상한 팀 관계자분에겐 축하를 ~좋은 결과를 얻지 못한 팀 관계자분들에겐 위로와 격려를 보냅니다.대회 기간 부족한 점들에 대해서는 넓은신 마음으로 이해해 주시길 바라면서 다음대회 때는 발전된 모습으로 다시 여러분들을 만나 뵙겠습니다.다시 한번 모든분들께 진심으로 감사드리고 수고하셨습니다.,https://cafe.daum.net/volleyballsok/Iy5T/1273,,2026-03-16 08:00
전국.지역대회결과,1272,제1회 남원춘향 장윤희배 전국 초등부 배구대회 경기 결과,25.12.07,997,제1회 남원춘향 장윤희배 전국 초등부 배구대회 결과.hwpx212.46KB,https://cafe.daum.net/volleyballsok/Iy5T/1272,,2026-03-16 08:00
전국.지역대회결과,1271,제46회 국무총리배 전국9인제 배구대회 결과,25.12.07,1427,제46회 국무총리배 전국9인제 배구대회 결과,https://cafe.daum.net/volleyballsok/Iy5T/1271,,2026-03-16 08:00
전국.지역대회결과,1270,제56회 정남진 장흥 전국 남.여 배구대회 경기 결과,25.12.05,1115,제56회 정남진 장흥 전국 남.여 배구대회에 찾아주신 전국 동호인 여러분께 감사에 말씀을 드립니다. 감사합니다,https://cafe.daum.net/volleyballsok/Iy5T/1270,,2026-03-16 08:00
